information,LUMO,HOMO,298K_Atomization_Energy,Diatomic,Bond_length,Rotational_constant,0K_Enthalpy_of_formation,Electric_dipole_moment,Ionization_Energy,Polarizability,neighbor_A_n,neighbor_B_n,coordination_number_n,neighbor_A_2,neighbor_B_2,coordination_number_2,neighbor_A_3,neighbor_B_3,coordination_number_3,neighbor_A_4,neighbor_B_4,coordination_number_4,neighbor_A_5,neighbor_B_5,coordination_number_5,neighbor_A_6,neighbor_B_6,coordination_number_6,bulknn,local_electron_affinity_n,local_electron_affinity_2,local_electron_affinity_3,local_electron_affinity_4,local_electron_affinity_5,local_electron_affinity_6,atomic_number_A,atomic_radius_A,dbcenter_A,d_skew_A,db_filling_A,electron_affinity_A,dipole_polarizability_A,heat_of_formation_A,en_pauling_A,vdw_radius_A,ionenergies_A,Work_Function_A,273K_Thermal_Conductivity_A,class_transition_A,class_covalent_A,class_nonmetal_A,rd_A,Vsd2_A,inner_3s_A,inner_3p_A,inner_3d_A,inner_4s_A,inner_4p_A,inner_4d_A,inner_4f_A,inner_5s_A,inner_5p_A,inner_5d_A,inner_6s_A,outer_s_A,outer_p_A,outer_d_A,outer_f_A,atomic_number_B,atomic_radius_B,dbcenter_B,d_skew_BB,db_filling_B,electron_affinity_B,dipole_polarizability_B,heat_of_formation_B,en_pauling_B,vdw_radius_B,ionenergies_B,Work_Function_B,273K_Thermal_Conductivity_B,class_transition_B,class_covalent_B,class_nonmetal_B,rd_B,Vsd2_B,inner_3s_B,inner_3p_B,inner_3d_B,inner_4s_B,inner_4p_B,inner_4d_B,inner_4f_B,inner_5s_B,inner_5p_B,inner_5d_B,inner_6s_B,outer_s_B,outer_p_B,outer_d_B,outer_f_B,Adsorption Energy
Al2In2N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,1,2,4.666666667,1,2,4.666666667,1,2,4.666666667,4,4,5.625,4,4,5.625,5,6,5.545454545,3.128549908,0,0,0,0,0,0,13,143,-13.3075,,,0.43283,46,330.9,1.61,184,5.9857684,4.16,236,0,1,0,0.61,,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,49,166,-14.78647093,41.50627285,0.998672595,0.3,68.7,243,1.78,193,5.7863552,4.09,83.7,0,0,1,0.63,,2,6,10,2,6,10,0,2,0,0,0,0,1,0,0,1.058969643
Ru2Pb2N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,2,0,8,2,0,8,2,3,7.4,4,3,8.428571429,4,4,8.75,6,6,8.166666667,2.908581484,1.05,1.05,1.545587928,1.383951995,1.449137675,1.449137675,44,134,-1.190931237,0.042008199,0.671850929,1.05,65,650.6,2.2,213,7.3605,4.71,117,1,0,0,1.05,3.87,2,6,10,2,6,0,0,0,0,0,0,1,0,7,0,82,175,-2.199353318,-0.0015442,0.630894547,0.35674316,47.1,195.2,1.8,202,7.4166796,4.25,35.6,0,0,1,0.57,,2,6,10,2,6,10,14,2,6,10,2,0,2,0,0,0.957673362
Os4Os0N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,3,0,7,3,0,7,5,0,7.2,8,0,7.875,8,0,7.875,12,0,7.25,2.720332226,1.1,1.1,1.1,1.1,1.1,1.1,76,135,-1.372999685,0.017091257,0.648741666,1.1,57,787,2.2,216,8.43823,5.93,88,1,0,0,1.13,5.13,2,6,10,2,6,10,0,2,6,0,0,2,0,6,14,76,135,-1.372999685,0.017091257,0.648741666,1.1,57,787,2.2,216,8.43823,5.93,88,1,0,0,1.13,5.13,2,6,10,2,6,10,0,2,6,0,0,2,0,6,14,-1.081343115
Zn2Re2N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,0,2,7,1,2,6.666666667,2,2,6.5,3,4,7.571428571,4,4,7.75,6,6,7.166666667,2.630175976,2,,,,,,30,138,-7.679984508,9.50907044,0.995591587,,38.8,130.4,1.65,201,9.394199,4.265,117,0,1,0,0.59,0.46,2,6,10,2,3,0,0,0,0,0,0,2,0,10,0,75,137,0.036133191,0.011796183,0.554710365,0.15,65,774,1.9,216,7.83352,4.72,48.6,1,0,0,1.2,6.04,2,6,10,2,6,10,0,2,6,0,0,2,0,5,14,-1.302223905
Cu3Fe1N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,2,1,7,2,1,7,4,1,7.2,6,2,7.875,8,3,7.363636364,9,3,7.25,2.592877227,1.45028928,1.45028928,1.360002057,1.393181559,1.408529567,1.393181559,29,128,-2.39711738,0.402188038,0.946906307,1.235,46.5,337.4,1.9,196,7.72638,9.63,403,1,0,0,0.67,1,2,6,10,2,3,0,0,0,0,0,0,1,0,10,0,26,126,-1.481436177,0.179259374,0.903397814,0.151,63.93,415.5,1.83,204,7.9024678,4.74,83.5,1,0,0,0.8,1.59,2,6,10,2,3,0,0,0,0,0,0,2,0,6,0,0.618643737
Cr3Tl1N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,3,0,7,3,0,7,3,2,7.2,6,2,7.875,9,2,7.363636364,9,3,7.25,2.726423809,0.666,0.666,1.033942854,0.876724556,0.81339697,0.876724556,24,130,-0.051143679,0.074557596,0.480683429,0.666,78.4,397.48,1.66,206,6.76651,4.5,96.5,1,0,0,0.9,2.35,2,6,10,2,3,0,0,0,0,0,0,1,0,5,0,81,171,4.95989845,,,0.377,51.7,182.2,1.8,196,6.108287,3.84,46.9,0,1,0,0.6,,2,6,10,2,6,10,14,2,6,10,2,0,1,0,0,-2.667665024
Mo3Ir1N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,3,0,7,3,0,7,3,2,7.2,6,2,7.875,6,2,7.875,9,3,7.25,2.802778891,0.748,0.748,1.108544054,0.956497187,0.956497187,0.956497187,42,139,0.045964239,0.025550901,0.484172145,0.748,72.5,658.98,2.16,217,7.09243,4.655,139,1,0,0,1.2,6.62,2,6,10,2,6,0,0,0,0,0,0,1,0,5,0,77,136,-2.323498504,0.035275443,0.769138113,1.5638,51,669,2.2,213,8.96702,5.335,148,1,0,0,1.08,4.45,2,6,10,2,6,10,0,2,6,0,0,2,0,7,14,-3.276062859
Nb2Ru2N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,2,1,8,2,1,8,2,3,8.4,4,3,9.142857143,4,4,9.375,6,6,8.583333333,2.759911742,1.189554605,1.189554605,1.464342367,1.281207494,1.354552325,1.354552325,41,146,1.444067382,0.020573758,0.411448752,0.917406,106,733,1.6,218,6.75885,4.41,53.3,1,0,0,1.28,7.73,2,6,10,2,6,0,0,0,0,0,0,1,0,4,0,44,134,-1.190931237,0.042008199,0.671850929,1.05,65,650.6,2.2,213,7.3605,4.71,117,1,0,0,1.05,3.87,2,6,10,2,6,0,0,0,0,0,0,1,0,7,0,-3.991632185
Rh2Cd2N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,2,2,8,2,0,8,2,3,8.6,4,3,9.285714286,4,4,9.5,6,6,8.666666667,2.821030672,1.50797878,1.137,1.595593224,1.448358185,1.50797878,1.50797878,45,134,-1.74842118,0.091325648,0.783981104,1.137,58,556,2.28,210,7.4589,4.98,151,1,0,0,0.99,3.32,2,6,10,2,6,0,0,0,0,0,0,1,0,8,0,48,154,-8.924266924,5.302432968,0.993751837,,49.65,111.8,1.69,218,8.993822,4.08,97.5,1,0,0,0.65,1.58,2,6,10,2,6,0,0,0,0,0,0,2,0,10,0,0.323786896
La3Cu1N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,3,0,7,3,0,7,3,0,7,6,1,7.714285714,6,1,7.714285714,6,2,7.875,3.504973351,0.47,0.47,0.47,0.578023248,0.578023248,0.675042152,57,187,-0.090510573,,,0.47,210,431,1.1,243,5.5769,3.5,13.1,1,0,0,,,2,6,10,2,6,10,0,2,6,0,0,2,0,1,0,29,128,-2.39711738,0.402188038,0.946906307,1.235,46.5,337.4,1.9,196,7.72638,9.63,403,1,0,0,0.67,1,2,6,10,2,3,0,0,0,0,0,0,1,0,10,0,-4.594518354
Y3W1N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,2,1,7,2,1,7,3,1,7.5,6,2,7.875,6,2,7.875,8,3,7.363636364,3.323016122,0.573370814,0.573370814,0.490468681,0.490468681,0.490468681,0.511810059,39,178,0.201342304,,,0.307,153,424.7,1.22,232,6.21726,3.1,17,1,0,0,1.58,17.3,2,6,10,2,6,0,0,0,0,0,0,2,0,1,0,74,141,0.27333538,0.010403395,0.46381165,0.81626,75,851,1.7,218,7.86403,4.77,177,1,0,0,1.27,7.27,2,6,10,2,6,10,0,2,6,0,0,2,0,4,14,-5.489136409
Fe2Hf2N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,2,3,8.8,2,3,8.8,2,3,8.8,4,4,9.625,6,6,8.75,6,6,8.75,2.719121481,0.711555494,0.711555494,0.711555494,0.549545267,0.549545267,0.549545267,26,126,-1.481436177,0.179259374,0.903397814,0.151,63.93,415.5,1.83,204,7.9024678,4.74,83.5,1,0,0,0.8,1.59,2,6,10,2,3,0,0,0,0,0,0,2,0,6,0,72,167,0.382039454,,,0.014,109,618.4,1.3,223,6.82507,3.9,23.3,1,0,0,1.44,11.9,2,6,10,2,6,10,0,2,6,0,0,2,0,2,14,-4.592516412
Zn2La2N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,2,3,7.6,2,3,7.6,2,3,7.6,4,4,7.625,6,4,6.9,6,6,6.916666667,3.30868826,,,,,,,30,138,-7.679984508,9.50907044,0.995591587,,38.8,130.4,1.65,201,9.394199,4.265,117,0,1,0,0.59,0.46,2,6,10,2,3,0,0,0,0,0,0,2,0,10,0,57,187,-0.090510573,,,0.47,210,431,1.1,243,5.5769,3.5,13.1,1,0,0,,,2,6,10,2,6,10,0,2,6,0,0,2,0,1,0,-2.986420263
Sc3Cu1N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,3,0,7,3,0,7,3,1,7.5,3,2,7.2,6,2,7.875,9,2,7.363636364,3.074189789,0.188,0.188,0.339528227,0.484068372,0.339528227,0.288976067,21,162,1.039495957,,,0.188,142.28,377.8,1.36,215,6.56149,3.5,15.7,1,0,0,1.24,7.9,2,6,10,2,3,0,0,0,0,0,0,2,0,1,0,29,128,-2.39711738,0.402188038,0.946906307,1.235,46.5,337.4,1.9,196,7.72638,9.63,403,1,0,0,0.67,1,2,6,10,2,3,0,0,0,0,0,0,1,0,10,0,-5.665258281
Zn2Mo2N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,1,2,7,1,2,7,2,2,6.75,3,4,7.714285714,4,4,7.875,6,6,7.25,2.654938712,,,,,,,30,138,-7.679984508,9.50907044,0.995591587,,38.8,130.4,1.65,201,9.394199,4.265,117,0,1,0,0.59,0.46,2,6,10,2,3,0,0,0,0,0,0,2,0,10,0,42,139,0.045964239,0.025550901,0.484172145,0.748,72.5,658.98,2.16,217,7.09243,4.655,139,1,0,0,1.2,6.62,2,6,10,2,6,0,0,0,0,0,0,1,0,5,0,-1.817768334
Ti4Ti0N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,3,0,7,3,0,7,4,0,6.75,7,0,7.714285714,8,0,7.875,12,0,7.25,2.884451274,0.079,0.079,0.079,0.079,0.079,0.079,22,147,1.450704928,0.068416983,0.266428167,0.079,114.34,473,1.54,211,6.82812,4.33,22.4,1,0,0,1.08,4.65,2,6,10,2,3,0,0,0,0,0,0,2,0,2,0,22,147,1.450704928,0.068416983,0.266428167,0.079,114.34,473,1.54,211,6.82812,4.33,22.4,1,0,0,1.08,4.65,2,6,10,2,3,0,0,0,0,0,0,2,0,2,0,-5.37678904
Pb3W1N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,0,1,6,0,1,6,1,1,6,3,1,5.75,6,1,6.857142857,6,2,7.125,3.333200297,2,2,0.844681194,0.548939194,0.45636164,0.548939194,82,175,-2.199353318,-0.0015442,0.630894547,0.35674316,47.1,195.2,1.8,202,7.4166796,4.25,35.6,0,0,1,0.57,,2,6,10,2,6,10,14,2,6,10,2,0,2,0,0,74,141,0.27333538,0.010403395,0.46381165,0.81626,75,851,1.7,218,7.86403,4.77,177,1,0,0,1.27,7.27,2,6,10,2,6,10,0,2,6,0,0,2,0,4,14,-2.688863508
La2Ir2N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,3,2,8,3,2,8,3,2,8,4,4,7.875,4,6,7.1,6,6,7.083333333,3.134541482,0.83882374,0.83882374,0.83882374,0.969535971,1.12061683,0.969535971,57,187,-0.090510573,,,0.47,210,431,1.1,243,5.5769,3.5,13.1,1,0,0,,,2,6,10,2,6,10,0,2,6,0,0,2,0,1,0,77,136,-2.323498504,0.035275443,0.769138113,1.5638,51,669,2.2,213,8.96702,5.335,148,1,0,0,1.08,4.45,2,6,10,2,6,10,0,2,6,0,0,2,0,7,14,-1.214924887
Zr2W2N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,2,1,8,2,1,8,2,2,7.75,4,3,9,4,4,9.125,6,6,8.25,2.783414631,0.713317805,0.713317805,0.923038461,0.826507715,0.923038461,0.923038461,40,160,1.77722146,0.017719717,0.289232383,0.426,121,610,1.33,223,6.6339,4.05,23.2,1,0,0,1.41,10.9,2,6,10,2,6,0,0,0,0,0,0,2,0,2,0,74,141,0.27333538,0.010403395,0.46381165,0.81626,75,851,1.7,218,7.86403,4.77,177,1,0,0,1.27,7.27,2,6,10,2,6,10,0,2,6,0,0,2,0,4,14,-4.803597838
Al2Bi2N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,2,1,4,2,1,4,2,2,4.5,4,3,4.571428571,4,4,4.625,6,5,4.454545455,3.235355976,0,0,0,0,0,0,13,143,-13.3075,,,0.43283,46,330.9,1.61,184,5.9857684,4.16,236,0,1,0,0.61,,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,83,170,0.130035485,,,0.942362,50,209.6,1.9,207,7.285516,4.31,8.2,0,0,1,0.57,,2,6,10,2,6,10,14,2,6,10,2,0,3,0,0,-0.779224372
Cu2W2N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,1,2,7.666666667,1,2,7.666666667,3,2,7.6,4,4,8.625,4,4,8.625,6,6,7.916666667,2.656387433,1.703108499,1.703108499,1.497656352,1.571623365,1.571623365,1.571623365,29,128,-2.39711738,0.402188038,0.946906307,1.235,46.5,337.4,1.9,196,7.72638,9.63,403,1,0,0,0.67,1,2,6,10,2,3,0,0,0,0,0,0,1,0,10,0,74,141,0.27333538,0.010403395,0.46381165,0.81626,75,851,1.7,218,7.86403,4.77,177,1,0,0,1.27,7.27,2,6,10,2,6,10,0,2,6,0,0,2,0,4,14,-2.929687793
Tc2Os2N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,1,2,7,1,2,7,3,2,7.2,4,4,7.875,4,4,7.875,6,6,7.25,2.731131867,1.300591447,1.300591447,0.921784948,1.048808848,1.048808848,1.048808848,43,136,-0.281545688,,,0.55,80.4,678,2.1,216,7.119381,4.31,50.9,1,0,0,1.11,4.71,2,6,10,2,6,0,0,0,0,0,0,2,0,5,0,76,135,-1.372999685,0.017091257,0.648741666,1.1,57,787,2.2,216,8.43823,5.93,88,1,0,0,1.13,5.13,2,6,10,2,6,10,0,2,6,0,0,2,0,6,14,-2.24021745
Cr2Re2N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,2,2,8,2,2,8,2,3,8.6,4,4,9.5,6,6,8.666666667,6,6,8.666666667,2.586989344,1.154123044,1.154123044,1.28827236,1.154123044,1.154123044,1.154123044,24,130,-0.051143679,0.074557596,0.480683429,0.666,78.4,397.48,1.66,206,6.76651,4.5,96.5,1,0,0,0.9,2.35,2,6,10,2,3,0,0,0,0,0,0,1,0,5,0,75,137,0.036133191,0.011796183,0.554710365,0.15,65,774,1.9,216,7.83352,4.72,48.6,1,0,0,1.2,6.04,2,6,10,2,6,10,0,2,6,0,0,2,0,5,14,-3.24998102
In2Tl2N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,2,1,3.666666667,2,1,3.666666667,2,2,3.25,3,3,3,4,4,2.625,6,5,2.090909091,3.498786875,0.564621617,0.564621617,0.774596669,0.774596669,0.774596669,0.71060004,49,166,-14.78647093,41.50627285,0.998672595,0.3,68.7,243,1.78,193,5.7863552,4.09,83.7,0,0,1,0.63,,2,6,10,2,6,10,0,2,0,0,0,0,1,0,0,81,171,4.95989845,,,0.377,51.7,182.2,1.8,196,6.108287,3.84,46.9,0,1,0,0.6,,2,6,10,2,6,10,14,2,6,10,2,0,1,0,0,3.593306778
Cd3Sc1N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,2,1,5.666666667,2,1,5.666666667,2,1,5.666666667,5,1,6.333333333,6,2,6.875,8,3,6.636363636,3.174143992,,,,,,,48,154,-8.924266924,5.302432968,0.993751837,,49.65,111.8,1.69,218,8.993822,4.08,97.5,1,0,0,0.65,1.58,2,6,10,2,6,0,0,0,0,0,0,2,0,10,0,21,162,1.039495957,,,0.188,142.28,377.8,1.36,215,6.56149,3.5,15.7,1,0,0,1.24,7.9,2,6,10,2,3,0,0,0,0,0,0,2,0,1,0,0.35403507
Cd3Mo1N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,2,1,7,2,1,7,3,1,6.75,4,1,7.2,6,2,7.875,8,3,7.363636364,3.025808698,,,,,,,48,154,-8.924266924,5.302432968,0.993751837,,49.65,111.8,1.69,218,8.993822,4.08,97.5,1,0,0,0.65,1.58,2,6,10,2,6,0,0,0,0,0,0,2,0,10,0,42,139,0.045964239,0.025550901,0.484172145,0.748,72.5,658.98,2.16,217,7.09243,4.655,139,1,0,0,1.2,6.62,2,6,10,2,6,0,0,0,0,0,0,1,0,5,0,-2.089697408
Re2Au2N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,2,1,7,2,1,7,2,3,7.2,4,4,7.875,4,4,7.875,6,6,7.25,2.726542603,0.35568933,0.35568933,0.709666821,0.547722558,0.547722558,0.547722558,75,137,0.036133191,0.011796183,0.554710365,0.15,65,774,1.9,216,7.83352,4.72,48.6,1,0,0,1.2,6.04,2,6,10,2,6,10,0,2,6,0,0,2,0,5,14,79,146,-3.611699503,0.381963433,0.968210706,2.30863,36.1,368.2,2.4,214,9.225553,5.285,319,1,0,0,1.01,3.35,2,6,10,2,6,10,0,2,6,0,0,1,0,10,14,0.398649495
Mo3Os1N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,3,0,7,3,0,7,3,2,7.2,6,2,7.875,6,2,7.875,9,3,7.25,2.80600754,0.748,0.748,1.108544054,0.956497187,0.956497187,0.956497187,42,139,0.045964239,0.025550901,0.484172145,0.748,72.5,658.98,2.16,217,7.09243,4.655,139,1,0,0,1.2,6.62,2,6,10,2,6,0,0,0,0,0,0,1,0,5,0,76,135,-1.372999685,0.017091257,0.648741666,1.1,57,787,2.2,216,8.43823,5.93,88,1,0,0,1.13,5.13,2,6,10,2,6,10,0,2,6,0,0,2,0,6,14,-3.135268982
In3Sn1N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,2,1,4.333333333,2,1,4.333333333,2,1,4.333333333,5,2,4.428571429,6,2,4.375,7,2,4.333333333,3.433235111,0.564621617,0.564621617,0.564621617,0.515850377,0.482057051,0.457311461,49,166,-14.78647093,41.50627285,0.998672595,0.3,68.7,243,1.78,193,5.7863552,4.09,83.7,0,0,1,0.63,,2,6,10,2,6,10,0,2,0,0,0,0,1,0,0,50,162,-21.76422189,66.68357887,0.999454261,1.112067,42.4,301.2,1.96,217,7.343917,4.42,68.2,0,0,1,0.59,,2,6,10,2,6,10,0,2,0,0,0,0,2,0,0,3.031329115
Sc2Mo2N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,2,1,7,2,1,7,2,2,6.75,4,4,8.125,4,4,8.125,6,5,7.727272727,2.798535402,0.413474342,0.413474342,0.613188389,0.613188389,0.613188389,0.5507036,21,162,1.039495957,,,0.188,142.28,377.8,1.36,215,6.56149,3.5,15.7,1,0,0,1.24,7.9,2,6,10,2,3,0,0,0,0,0,0,2,0,1,0,42,139,0.045964239,0.025550901,0.484172145,0.748,72.5,658.98,2.16,217,7.09243,4.655,139,1,0,0,1.2,6.62,2,6,10,2,6,0,0,0,0,0,0,1,0,5,0,-4.212242765
Sn2Pt2N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,1,2,6,1,2,6,3,2,5.6,3,4,5.714285714,4,4,5.875,6,6,5.25,2.94990085,1.644612733,1.644612733,1.40634078,1.55520466,1.491353077,1.491353077,50,162,-21.76422189,66.68357887,0.999454261,1.112067,42.4,301.2,1.96,217,7.343917,4.42,68.2,0,0,1,0.59,,2,6,10,2,6,10,0,2,0,0,0,0,2,0,0,78,139,-2.327119735,0.08504031,0.873081836,2.128,44,565.7,2.2,213,8.95883,5.525,71.7,1,0,0,1.04,3.9,2,6,10,2,6,10,0,2,6,0,0,1,0,9,14,3.928116461
Zr3Ga1N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,3,0,7,3,0,7,3,0,7,6,1,7.714285714,6,2,7.875,6,3,7.666666667,3.083212046,0.426,0.426,0.426,0.531319029,0.627068086,0.713317805,40,160,1.77722146,0.017719717,0.289232383,0.426,121,610,1.33,223,6.6339,4.05,23.2,1,0,0,1.41,10.9,2,6,10,2,6,0,0,0,0,0,0,2,0,2,0,31,141,1.215936201,,,0.43,49.9,271.96,1.81,187,5.9993018,4.32,41,0,1,0,0.59,,2,6,10,2,3,0,0,0,0,0,0,2,1,10,0,-5.423191253
Ta3Ni1N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,0,1,7,0,1,7,3,1,6.25,6,1,7.428571429,6,2,7.625,9,2,7.181818182,2.865860872,2,2,0.508334286,0.417990548,0.508334286,0.448817052,73,149,2.06747,0.008732307,0.382570087,0.322,88,782,1.5,222,7.54957,4.4,57.4,1,0,0,1.34,9.05,2,6,10,2,6,10,0,2,6,0,0,2,0,3,14,28,124,-1.704559039,0.257788923,0.92586843,1.156,51.1,430.1,1.91,197,7.639877,5.195,94.1,1,0,0,0.71,1.16,2,6,10,2,3,0,0,0,0,0,0,2,0,8,0,3.852692764
Ni2Rh2N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,1,2,7,1,2,7,3,2,7.2,4,4,7.875,4,6,7.5,6,6,7.25,2.600154921,1.665990837,1.665990837,1.439417236,1.520526225,1.606205583,1.520526225,28,124,-1.704559039,0.257788923,0.92586843,1.156,51.1,430.1,1.91,197,7.639877,5.195,94.1,1,0,0,0.71,1.16,2,6,10,2,3,0,0,0,0,0,0,2,0,8,0,45,134,-1.74842118,0.091325648,0.783981104,1.137,58,556,2.28,210,7.4589,4.98,151,1,0,0,0.99,3.32,2,6,10,2,6,0,0,0,0,0,0,1,0,8,0,-0.052552802
Nb3Ag1N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,3,0,7,3,0,7,3,1,6.75,6,1,7.714285714,6,2,7.875,9,3,7.25,2.950666587,0.917406,0.917406,1.11475308,1.025449334,1.11475308,1.11475308,41,146,1.444067382,0.020573758,0.411448752,0.917406,106,733,1.6,218,6.75885,4.41,53.3,1,0,0,1.28,7.73,2,6,10,2,6,0,0,0,0,0,0,1,0,4,0,47,144,-4.111983875,0.979922601,0.975906896,1.302,52.5,284.9,1.93,211,7.576234,4.5,429,1,0,0,0.89,2.26,2,6,10,2,6,0,0,0,0,0,0,1,0,10,0,-5.294333649
Ir3W1N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,2,1,7,2,1,7,4,1,7.2,6,2,7.875,6,2,7.875,9,3,7.25,2.759329869,1.697451878,1.697451878,1.642672422,1.663004428,1.663004428,1.663004428,77,136,-2.323498504,0.035275443,0.769138113,1.5638,51,669,2.2,213,8.96702,5.335,148,1,0,0,1.08,4.45,2,6,10,2,6,10,0,2,6,0,0,2,0,7,14,74,141,0.27333538,0.010403395,0.46381165,0.81626,75,851,1.7,218,7.86403,4.77,177,1,0,0,1.27,7.27,2,6,10,2,6,10,0,2,6,0,0,2,0,4,14,-0.715003601
Ti3Rh1N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,3,0,7,3,0,7,3,2,7.2,6,2,7.875,6,2,7.875,9,3,7.25,2.843199657,0.079,0.079,0.287732059,0.177205753,0.177205753,0.177205753,22,147,1.450704928,0.068416983,0.266428167,0.079,114.34,473,1.54,211,6.82812,4.33,22.4,1,0,0,1.08,4.65,2,6,10,2,3,0,0,0,0,0,0,2,0,2,0,45,134,-1.74842118,0.091325648,0.783981104,1.137,58,556,2.28,210,7.4589,4.98,151,1,0,0,0.99,3.32,2,6,10,2,6,0,0,0,0,0,0,1,0,8,0,-5.451718579
Ru2Pt2N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,2,1,7,2,1,7,2,3,7.2,4,4,7.875,4,4,7.875,6,6,7.25,2.746459678,1.301575998,1.301575998,1.545587928,1.449137675,1.449137675,1.449137675,44,134,-1.190931237,0.042008199,0.671850929,1.05,65,650.6,2.2,213,7.3605,4.71,117,1,0,0,1.05,3.87,2,6,10,2,6,0,0,0,0,0,0,1,0,7,0,78,139,-2.327119735,0.08504031,0.873081836,2.128,44,565.7,2.2,213,8.95883,5.525,71.7,1,0,0,1.04,3.9,2,6,10,2,6,10,0,2,6,0,0,1,0,9,14,-0.644687208
Ta3Cu1N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,3,0,7,3,0,7,3,1,6.75,6,1,7.714285714,6,2,7.875,9,3,7.25,2.880984612,0.322,0.322,0.508334286,0.417990548,0.508334286,0.508334286,73,149,2.06747,0.008732307,0.382570087,0.322,88,782,1.5,222,7.54957,4.4,57.4,1,0,0,1.34,9.05,2,6,10,2,6,10,0,2,6,0,0,2,0,3,14,29,128,-2.39711738,0.402188038,0.946906307,1.235,46.5,337.4,1.9,196,7.72638,9.63,403,1,0,0,0.67,1,2,6,10,2,3,0,0,0,0,0,0,1,0,10,0,-5.633157284
Ru2Os2N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,1,2,7,1,2,7,3,2,7.2,4,4,7.875,4,4,7.875,6,6,7.25,2.712866451,1.613428646,1.613428646,1.358706264,1.449137675,1.449137675,1.449137675,44,134,-1.190931237,0.042008199,0.671850929,1.05,65,650.6,2.2,213,7.3605,4.71,117,1,0,0,1.05,3.87,2,6,10,2,6,0,0,0,0,0,0,1,0,7,0,76,135,-1.372999685,0.017091257,0.648741666,1.1,57,787,2.2,216,8.43823,5.93,88,1,0,0,1.13,5.13,2,6,10,2,6,10,0,2,6,0,0,2,0,6,14,-1.518432499
