information,LUMO,HOMO,298K_Atomization_Energy,Diatomic,Bond_length,Rotational_constant,0K_Enthalpy_of_formation,Electric_dipole_moment,Ionization_Energy,Polarizability,neighbor_A_n,neighbor_B_n,coordination_number_n,neighbor_A_2,neighbor_B_2,coordination_number_2,neighbor_A_3,neighbor_B_3,coordination_number_3,neighbor_A_4,neighbor_B_4,coordination_number_4,neighbor_A_5,neighbor_B_5,coordination_number_5,neighbor_A_6,neighbor_B_6,coordination_number_6,bulknn,local_electron_affinity_n,local_electron_affinity_2,local_electron_affinity_3,local_electron_affinity_4,local_electron_affinity_5,local_electron_affinity_6,atomic_number_A,atomic_radius_A,dbcenter_A,d_skew_A,db_filling_A,electron_affinity_A,dipole_polarizability_A,heat_of_formation_A,en_pauling_A,vdw_radius_A,ionenergies_A,Work_Function_A,273K_Thermal_Conductivity_A,class_transition_A,class_covalent_A,class_nonmetal_A,rd_A,Vsd2_A,inner_3s_A,inner_3p_A,inner_3d_A,inner_4s_A,inner_4p_A,inner_4d_A,inner_4f_A,inner_5s_A,inner_5p_A,inner_5d_A,inner_6s_A,outer_s_A,outer_p_A,outer_d_A,outer_f_A,atomic_number_B,atomic_radius_B,dbcenter_B,d_skew_BB,db_filling_B,electron_affinity_B,dipole_polarizability_B,heat_of_formation_B,en_pauling_B,vdw_radius_B,ionenergies_B,Work_Function_B,273K_Thermal_Conductivity_B,class_transition_B,class_covalent_B,class_nonmetal_B,rd_B,Vsd2_B,inner_3s_B,inner_3p_B,inner_3d_B,inner_4s_B,inner_4p_B,inner_4d_B,inner_4f_B,inner_5s_B,inner_5p_B,inner_5d_B,inner_6s_B,outer_s_B,outer_p_B,outer_d_B,outer_f_B,Adsorption Energy
Al3Ti1N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,2,1,5.666666667,2,1,5.666666667,3,1,5.75,5,2,6.857142857,6,2,6.875,9,3,6.583333333,2.804369174,0,0,0,0,0,0,13,143,-13.3075,,,0.43283,46,330.9,1.61,184,5.9857684,4.16,236,0,1,0,0.61,,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,22,147,1.450704928,0.068416983,0.266428167,0.079,114.34,473,1.54,211,6.82812,4.33,22.4,1,0,0,1.08,4.65,2,6,10,2,3,0,0,0,0,0,0,2,0,2,0,-2.078481692
Pb3Zn1N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,2,1,3.666666667,2,1,3.666666667,2,1,3.666666667,5,2,4.285714286,6,2,4.375,7,2,4.333333333,3.472520688,0.633743866,0.633743866,0.633743866,0.583798009,0.548939194,0.523272282,82,175,-2.199353318,-0.0015442,0.630894547,0.35674316,47.1,195.2,1.8,202,7.4166796,4.25,35.6,0,0,1,0.57,,2,6,10,2,6,10,14,2,6,10,2,0,2,0,0,30,138,-7.679984508,9.50907044,0.995591587,,38.8,130.4,1.65,201,9.394199,4.265,117,0,1,0,0.59,0.46,2,6,10,2,3,0,0,0,0,0,0,2,0,10,0,3.285613238
Pt3Ta1N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,2,1,7,2,1,7,3,1,6.75,5,2,7.714285714,6,2,7.875,9,3,7.25,2.834124366,2.084448075,2.084448075,2.095251772,2.090614776,2.095251772,2.095251772,78,139,-2.327119735,0.08504031,0.873081836,2.128,44,565.7,2.2,213,8.95883,5.525,71.7,1,0,0,1.04,3.9,2,6,10,2,6,10,0,2,6,0,0,1,0,9,14,73,149,2.06747,0.008732307,0.382570087,0.322,88,782,1.5,222,7.54957,4.4,57.4,1,0,0,1.34,9.05,2,6,10,2,6,10,0,2,6,0,0,2,0,3,14,0.081236865
Ni3In1N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,3,0,7,3,0,7,3,2,7.2,6,2,7.875,9,2,7.363636364,9,3,7.25,2.660591748,1.156,1.156,1.439417236,1.325793466,1.277155217,1.325793466,28,124,-1.704559039,0.257788923,0.92586843,1.156,51.1,430.1,1.91,197,7.639877,5.195,94.1,1,0,0,0.71,1.16,2,6,10,2,3,0,0,0,0,0,0,2,0,8,0,49,166,-14.78647093,41.50627285,0.998672595,0.3,68.7,243,1.78,193,5.7863552,4.09,83.7,0,0,1,0.63,,2,6,10,2,6,10,0,2,0,0,0,0,1,0,0,0.358594338
Sc2Hg2N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,2,1,7,2,1,7,2,2,6.25,4,3,7.571428571,4,4,7.375,6,5,7,3.073892183,0.413474342,0.413474342,0.613188389,0.517900001,0.613188389,0.5507036,21,162,1.039495957,,,0.188,142.28,377.8,1.36,215,6.56149,3.5,15.7,1,0,0,1.24,7.9,2,6,10,2,3,0,0,0,0,0,0,2,0,1,0,80,157,-5.13212651,,,,33.91,61.38,1.9,223,10.437504,4.475,7.82,0,0,1,0.66,2.64,2,6,10,2,6,10,0,2,6,0,0,2,0,10,14,-2.787470216
Pt3Tc1N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,2,1,7,2,1,7,3,1,6.75,6,2,7.875,6,2,7.875,9,3,7.25,2.793898761,2.084448075,2.084448075,2.095251772,2.095251772,2.095251772,2.095251772,78,139,-2.327119735,0.08504031,0.873081836,2.128,44,565.7,2.2,213,8.95883,5.525,71.7,1,0,0,1.04,3.9,2,6,10,2,6,10,0,2,6,0,0,1,0,9,14,43,136,-0.281545688,,,0.55,80.4,678,2.1,216,7.119381,4.31,50.9,1,0,0,1.11,4.71,2,6,10,2,6,0,0,0,0,0,0,2,0,5,0,-0.219783626
Hf4Hf0N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,3,0,7,3,0,7,3,0,7,7,0,7.714285714,8,0,7.875,9,0,7.666666667,3.087092224,0.014,0.014,0.014,0.014,0.014,0.014,72,167,0.382039454,,,0.014,109,618.4,1.3,223,6.82507,3.9,23.3,1,0,0,1.44,11.9,2,6,10,2,6,10,0,2,6,0,0,2,0,2,14,72,167,0.382039454,,,0.014,109,618.4,1.3,223,6.82507,3.9,23.3,1,0,0,1.44,11.9,2,6,10,2,6,10,0,2,6,0,0,2,0,2,14,-6.052211779
Au3Tc1N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,0,1,7,0,1,7,3,1,6.25,6,1,7.428571429,6,2,7.625,6,2,7.625,2.91679971,2,2,2.227271963,2.261782596,2.227271963,2.227271963,79,146,-3.611699503,0.381963433,0.968210706,2.30863,36.1,368.2,2.4,214,9.225553,5.285,319,1,0,0,1.01,3.35,2,6,10,2,6,10,0,2,6,0,0,1,0,10,14,43,136,-0.281545688,,,0.55,80.4,678,2.1,216,7.119381,4.31,50.9,1,0,0,1.11,4.71,2,6,10,2,6,0,0,0,0,0,0,2,0,5,0,-1.939956972
V2Cr2N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,2,2,8,2,2,8,4,2,9,4,4,9.25,6,6,8.333333333,6,6,8.333333333,2.404648668,1.024695077,1.024695077,0.819941499,1.024695077,1.024695077,1.024695077,23,134,0.959329207,0.057402396,0.409265156,0.525,97.34,515.5,1.63,207,6.746187,4.3,30.7,1,0,0,0.98,3.15,2,6,10,2,3,0,0,0,0,0,0,2,0,3,0,24,130,-0.051143679,0.074557596,0.480683429,0.666,78.4,397.48,1.66,206,6.76651,4.5,96.5,1,0,0,0.9,2.35,2,6,10,2,3,0,0,0,0,0,0,1,0,5,0,-4.604478537
Cr2Pb2N2,1.003,-14.323,945.4,2358.57,1.098,1.99824,0,0,15.58,1.71,2,0,7,2,0,7,2,3,7,4,3,7.857142857,4,4,8.25,6,6,7.833333333,2.887099235,0.666,0.666,1.28827236,1.06694243,1.154123044,1.154123044,24,130,-0.051143679,0.074557596,0.480683429,0.666,78.4,397.48,1.66,206,6.76651,4.5,96.5,1,0,0,0.9,2.35,2,6,10,2,3,0,0,0,0,0,0,1,0,5,0,82,175,-2.199353318,-0.0015442,0.630894547,0.35674316,47.1,195.2,1.8,202,7.4166796,4.25,35.6,0,0,1,0.57,,2,6,10,2,6,10,14,2,6,10,2,0,2,0,0,-2.293443189
